Age (years),Sex,Height (cm),Initial LBM (kg),Training Experience (years),Training Frequency (sessions per week),Average Reps per Set,Average Load per Exercise (kg),Average Daily Calories (kcal),Average Daily Protein Intake (grams),Average Sleep Duration per Night (hours),Sleep Quality (1–10 scale),Stress Level (1–10 scale),Creatine Supplement Use,Training Duration (Weeks),LBM after the training period (kg)
41,Male,171.2,58.3,3.3,4,6,65.8,2630.0,135.0,4.1,1.0,9.5,No,38,61.0
31,Male,176.6,65.1,3.2,2,12,46.9,2273.0,135.0,7.7,4.7,1.5,Yes,26,66.1
34,Female,162.7,44.7,2.8,4,8,64.5,2145.0,125.0,7.5,6.7,5.2,No,45,48.5
18,Male,171.6,59.0,3.3,4,15,54.2,2978.0,109.0,5.6,2.6,8.8,Yes,40,63.3
18,Male,166.9,54.3,0.0,2,11,40.0,2586.0,133.0,6.0,5.0,6.3,No,51,55.0
18,Female,165.4,49.4,2.5,6,9,27.1,2238.0,125.0,7.4,5.6,4.0,No,16,51.9
25,Female,156.3,43.3,3.2,2,14,30.6,1944.0,74.0,6.9,3.9,5.2,Yes,48,43.9
36,Male,183.3,60.3,1.0,2,15,72.7,2344.0,130.0,5.9,3.7,7.7,No,18,60.9
18,Male,180.3,64.6,1.4,3,9,71.2,2642.0,153.0,8.3,6.4,3.6,No,10,63.9
46,Female,165.4,48.9,3.4,4,11,45.4,2040.0,135.0,7.7,7.3,1.0,No,30,49.5
32,Female,156.2,43.8,5.2,3,15,69.1,2369.0,108.0,5.0,1.0,10.0,No,43,46.7
44,Female,172.5,50.2,1.1,2,14,48.1,1976.0,69.0,8.4,7.5,1.0,No,34,50.5
21,Female,165.9,48.3,0.8,7,5,73.8,2409.0,154.0,4.5,1.9,9.0,No,35,51.1
35,Female,165.7,52.1,0.4,4,5,52.3,2175.0,122.0,5.6,2.7,9.0,No,13,52.0
31,Male,187.4,73.2,0.5,4,8,44.9,2672.0,124.0,7.4,5.1,5.6,No,17,73.5
38,Male,178.3,60.0,0.8,5,11,63.8,2765.0,136.0,7.7,5.3,4.9,No,47,63.1
28,Female,164.5,50.2,0.1,2,13,25.2,2278.0,126.0,7.0,4.9,4.9,No,7,49.7
35,Female,168.5,50.9,3.6,2,13,94.2,1733.0,102.0,7.1,7.8,1.7,No,49,57.3
41,Female,163.1,48.4,4.0,1,7,60.4,1867.0,116.0,6.1,5.5,4.6,Yes,23,48.5
23,Male,177.0,64.6,0.2,2,11,54.8,2509.0,128.0,6.8,5.4,4.3,Yes,46,67.5
32,Male,195.6,79.2,3.5,4,8,62.9,2597.0,179.0,6.9,4.5,9.1,No,8,79.6
18,Female,168.2,54.0,1.9,2,4,10.0,2078.0,142.0,8.4,6.9,2.4,Yes,13,56.1
37,Female,163.3,52.1,0.7,1,5,35.7,2042.0,111.0,7.0,6.5,1.2,No,40,53.1
50,Female,166.3,54.6,0.4,1,7,30.9,1963.0,109.0,7.4,5.8,6.7,Yes,6,55.5
18,Female,169.2,53.5,3.8,4,14,47.7,2229.0,137.0,6.1,1.3,8.2,No,43,56.1
29,Female,157.5,43.5,3.8,7,11,56.7,2480.0,134.0,8.4,7.9,2.7,No,32,46.1
39,Female,167.9,50.3,1.4,7,12,61.1,2524.0,180.0,8.1,7.3,3.3,No,24,51.6
30,Female,170.3,51.0,6.1,7,14,64.5,2522.0,175.0,8.7,9.0,2.6,No,51,55.2
32,Female,177.1,53.5,1.7,1,7,52.8,1851.0,136.0,5.9,2.8,8.9,No,10,55.8
26,Female,164.4,47.0,1.3,7,4,101.4,2577.0,158.0,4.8,2.3,9.9,No,46,51.4
26,Male,177.6,65.5,0.4,2,11,49.1,2310.0,142.0,7.7,7.3,4.9,Yes,10,64.7
29,Male,181.0,62.8,0.3,3,4,49.2,2557.0,148.0,7.4,6.5,5.3,No,20,63.7
30,Female,158.7,47.6,0.5,3,11,10.0,1890.0,87.0,7.5,5.8,1.6,Yes,26,48.8
18,Male,173.0,60.5,4.8,7,7,49.4,3012.0,184.0,6.9,5.3,3.7,Yes,45,65.7
29,Male,177.9,64.2,0.5,4,8,62.1,2668.0,111.0,5.8,2.7,5.6,No,32,66.7
46,Male,160.7,45.6,4.8,7,5,63.9,3036.0,143.0,8.3,5.6,6.0,No,36,47.5
26,Male,183.9,73.2,2.8,6,5,62.2,2576.0,204.0,6.8,5.6,5.9,No,15,73.8
18,Male,188.9,67.4,1.5,1,12,42.2,2327.0,123.0,7.7,5.4,5.7,No,7,67.8
28,Male,178.3,64.7,1.0,4,4,11.2,2216.0,123.0,6.5,3.1,4.7,Yes,27,66.4
23,Female,164.8,50.0,0.5,4,9,70.3,2010.0,131.0,6.0,4.7,3.4,No,36,51.1
18,Male,182.2,66.9,2.1,6,11,70.5,2806.0,196.0,6.8,3.5,4.8,Yes,25,70.1
31,Male,171.7,56.8,7.3,2,5,71.0,2538.0,102.0,6.6,5.0,8.6,No,47,60.9
23,Male,178.3,58.7,4.4,2,8,57.8,2560.0,129.0,6.5,5.8,3.5,Yes,40,61.7
24,Female,155.9,41.6,0.7,1,15,33.7,1924.0,72.0,8.3,6.5,4.2,Yes,44,44.2
32,Male,180.8,67.3,8.4,5,10,92.1,2626.0,191.0,5.5,2.5,5.7,Yes,11,70.9
18,Female,156.4,43.4,3.2,6,11,26.8,1914.0,191.0,7.1,4.8,4.8,Yes,11,44.1
18,Female,157.9,40.3,2.2,2,5,24.7,1998.0,78.0,5.1,2.6,7.3,No,38,41.5
37,Female,157.1,36.9,0.2,6,15,62.5,2299.0,91.0,7.5,5.4,3.3,Yes,6,38.1
18,Male,182.2,67.6,3.1,7,8,97.6,2719.0,194.0,7.6,2.4,9.2,No,24,69.0
20,Female,157.1,45.4,0.2,4,8,53.7,2437.0,111.0,8.0,6.5,2.2,No,25,47.6
18,Male,172.2,54.1,1.4,3,14,57.3,2676.0,149.0,6.3,2.9,5.5,Yes,18,55.7
25,Female,157.4,41.7,3.0,7,11,77.4,2359.0,124.0,6.3,4.2,6.2,Yes,41,46.2
34,Female,157.7,42.3,0.3,1,8,10.0,1792.0,88.0,6.7,3.9,6.9,No,49,43.3
31,Male,176.4,60.3,4.6,4,13,50.1,2632.0,156.0,8.3,7.5,1.1,Yes,41,64.4
54,Male,167.4,61.6,4.9,1,8,67.8,2585.0,126.0,6.6,3.6,7.8,Yes,16,61.5
41,Male,173.1,61.5,2.0,6,7,46.0,2444.0,176.0,7.1,5.7,5.0,No,7,61.9
21,Female,159.5,40.2,2.6,4,6,64.3,2037.0,136.0,6.3,3.5,7.4,No,21,42.7
18,Male,170.1,57.4,1.1,5,5,52.3,2773.0,179.0,9.1,7.3,1.0,Yes,37,59.8
57,Female,155.9,42.2,0.9,2,5,59.9,1854.0,98.0,5.5,2.7,6.9,No,24,44.2
41,Male,184.1,62.0,3.0,5,12,51.5,2811.0,179.0,6.3,5.2,7.6,No,43,64.7
36,Female,155.4,43.2,0.3,1,10,49.3,1798.0,126.0,7.6,7.1,5.5,No,4,43.4
31,Female,161.4,41.2,1.7,1,5,21.1,2004.0,59.0,7.1,5.6,5.1,No,35,41.9
33,Female,159.8,44.8,1.4,3,14,51.5,2092.0,162.0,5.9,3.7,7.8,Yes,42,47.2
18,Female,159.3,45.8,2.7,1,8,86.2,2181.0,93.0,8.5,7.4,1.0,Yes,14,46.7
32,Male,177.9,67.1,3.8,4,8,49.0,2567.0,167.0,5.7,3.2,6.1,No,9,65.9
31,Male,177.9,60.2,2.1,4,15,57.7,2386.0,162.0,6.8,5.0,9.0,Yes,22,61.8
21,Female,162.9,46.1,5.4,4,13,39.3,2015.0,161.0,8.7,9.7,1.0,Yes,19,47.9
25,Male,182.3,66.6,1.1,3,15,53.7,2437.0,175.0,7.2,5.0,6.6,Yes,21,70.2
45,Male,181.4,60.0,3.7,2,10,30.5,2511.0,163.0,7.4,5.9,4.2,No,8,58.7
29,Male,177.0,57.2,0.4,5,13,32.1,2523.0,185.0,8.3,6.3,5.0,Yes,33,60.1
51,Male,182.7,70.2,0.0,7,4,64.6,2593.0,178.0,6.7,5.6,10.0,Yes,36,74.6
18,Male,181.2,64.1,2.0,5,13,43.9,2726.0,182.0,7.8,8.1,5.1,No,47,66.9
25,Female,167.6,51.0,0.4,4,12,50.9,1792.0,120.0,8.4,8.0,3.3,No,44,53.5
18,Male,175.5,61.1,7.6,5,14,90.1,3024.0,156.0,7.5,4.5,7.4,Yes,20,62.4
18,Female,169.2,46.7,0.1,3,8,40.6,1832.0,81.0,7.8,7.0,2.5,No,43,49.3
22,Male,187.2,68.8,1.6,4,15,53.0,2519.0,162.0,6.2,2.4,6.9,No,15,70.2
33,Female,164.2,50.0,4.1,1,5,36.9,2101.0,108.0,6.6,4.9,7.5,No,36,49.1
33,Male,171.3,58.1,1.8,4,13,88.1,2730.0,123.0,8.1,7.5,2.3,Yes,39,63.4
23,Female,168.6,53.0,1.3,1,10,64.4,2053.0,115.0,9.1,8.5,1.1,No,30,53.7
18,Female,174.1,57.6,1.4,1,9,33.2,2242.0,124.0,7.6,7.0,4.5,No,47,60.9
45,Male,172.2,56.4,0.3,6,15,58.3,2933.0,168.0,8.0,4.9,6.0,No,21,57.8
27,Female,162.1,43.7,1.1,2,5,27.2,2176.0,99.0,6.6,4.8,6.6,Yes,22,44.9
19,Female,164.1,52.5,5.5,6,12,73.4,2389.0,123.0,7.4,5.4,3.3,No,28,54.7
33,Female,161.6,47.1,0.1,5,12,34.7,1821.0,126.0,6.7,4.0,8.3,No,31,48.1
32,Female,162.9,48.3,2.1,6,13,75.0,2289.0,148.0,6.3,4.6,5.3,Yes,33,51.3
27,Male,177.7,64.4,2.1,2,14,27.9,2439.0,137.0,6.4,4.5,8.1,No,37,64.5
31,Female,163.6,49.3,5.2,4,7,53.1,2086.0,128.0,7.5,6.6,1.4,No,46,51.8
18,Male,180.9,66.5,0.2,3,9,63.2,2539.0,155.0,5.0,1.7,7.2,Yes,44,71.4
38,Male,175.7,62.7,2.4,6,8,101.3,3047.0,157.0,5.4,2.8,6.6,Yes,11,64.4
20,Female,172.8,59.2,3.7,2,15,74.9,2068.0,131.0,6.1,2.7,4.9,No,42,63.0
24,Male,170.5,59.9,0.2,1,10,74.3,2536.0,116.0,7.1,7.0,4.9,Yes,14,61.3
36,Female,174.5,56.4,0.6,4,10,49.7,2047.0,146.0,6.3,5.0,5.1,No,41,59.4
42,Female,172.3,55.2,1.7,6,5,64.1,2317.0,184.0,9.9,9.5,1.0,No,29,56.8
46,Female,173.0,52.9,0.0,6,14,19.8,1874.0,144.0,5.4,1.1,10.0,Yes,16,53.3
41,Female,160.2,41.3,0.2,2,13,50.8,1963.0,121.0,6.0,1.6,10.0,Yes,5,42.7
27,Male,179.0,63.9,0.1,7,13,65.7,2679.0,221.0,4.8,3.4,7.4,No,20,65.3
18,Male,174.7,59.8,0.0,1,4,69.8,2379.0,113.0,8.2,8.6,3.7,No,22,60.2
44,Male,192.0,79.5,1.7,4,8,10.0,2689.0,186.0,5.9,3.8,6.2,Yes,41,80.7
44,Male,166.4,51.4,1.5,7,13,74.7,2829.0,175.0,5.8,3.2,4.7,No,7,52.6
23,Male,192.7,71.8,1.3,3,10,26.3,2676.0,165.0,7.4,3.6,8.4,Yes,51,75.2
39,Male,186.7,69.1,7.1,2,13,102.6,2333.0,153.0,8.2,6.8,3.6,No,31,71.7
27,Female,161.8,44.7,1.6,2,4,66.4,2024.0,66.0,4.9,1.6,10.0,No,21,44.0
45,Female,160.1,41.2,6.0,5,9,48.1,2248.0,124.0,8.7,8.8,6.6,No,10,39.4
25,Male,179.8,63.6,1.8,4,4,57.2,2977.0,136.0,7.0,5.2,2.9,No,29,66.9
50,Female,159.1,41.7,2.0,2,14,29.0,2000.0,87.0,9.8,10.0,1.0,No,8,41.5
38,Male,180.6,63.0,0.2,6,5,60.6,2642.0,197.0,6.2,3.2,6.4,No,40,64.7
48,Male,166.6,56.5,1.1,4,5,35.0,2257.0,151.0,8.5,7.7,4.3,No,29,58.2
25,Female,173.6,56.6,3.7,1,5,40.3,1968.0,126.0,7.3,5.0,5.4,No,5,55.8
34,Female,169.8,51.6,3.8,7,8,56.9,2629.0,162.0,6.2,5.0,7.7,No,41,53.9
20,Female,167.4,55.2,3.6,2,13,46.4,2109.0,115.0,6.9,5.0,2.8,No,44,56.1
38,Male,183.6,69.2,2.0,1,8,60.2,2197.0,158.0,7.4,4.5,7.5,No,40,71.3
39,Female,165.3,50.6,1.2,4,8,70.7,2009.0,128.0,6.1,1.2,7.8,No,19,50.7
54,Female,164.5,44.5,2.4,7,5,78.8,2380.0,169.0,6.0,3.8,6.7,No,11,44.3
35,Female,176.3,54.3,0.9,1,6,63.7,1745.0,132.0,7.6,7.3,3.8,Yes,6,54.8
37,Female,156.4,45.0,0.7,7,11,46.7,2269.0,169.0,7.3,4.5,4.4,No,34,46.7
25,Female,150.0,40.5,3.1,2,8,64.6,2128.0,107.0,6.0,5.2,2.7,No,31,42.1
35,Female,166.7,49.5,0.8,5,13,35.2,2228.0,125.0,5.6,2.0,9.1,No,39,51.5
26,Female,172.4,55.8,0.4,3,5,57.4,1972.0,107.0,4.3,1.5,10.0,Yes,14,56.4
31,Female,165.1,49.6,7.4,2,10,56.6,1934.0,118.0,6.4,3.8,4.7,No,25,50.9
32,Female,152.1,40.5,1.5,1,11,88.0,1951.0,105.0,6.7,4.3,2.7,No,26,42.8
26,Male,167.4,52.3,0.7,5,9,38.1,2437.0,145.0,8.1,6.2,6.1,No,36,55.4
31,Female,157.6,49.6,1.2,4,4,55.7,2102.0,119.0,8.3,6.7,3.8,Yes,23,51.2
26,Male,179.1,63.2,0.4,3,7,64.1,2139.0,147.0,8.4,6.8,4.5,No,47,67.4
26,Male,177.5,60.5,0.7,7,14,87.2,3081.0,194.0,6.9,6.0,3.9,No,40,63.3
41,Female,154.3,40.4,1.2,7,8,36.0,2319.0,189.0,6.0,1.0,7.8,No,12,41.0
32,Female,165.2,50.9,0.4,2,12,62.2,2228.0,131.0,8.6,7.3,7.2,Yes,24,51.1
33,Female,160.1,47.5,2.4,1,15,54.9,2273.0,86.0,5.7,3.4,9.5,Yes,46,51.3
18,Male,179.1,62.6,0.3,7,7,103.6,2946.0,185.0,5.3,2.1,3.7,No,11,64.9
34,Male,182.9,65.0,4.0,7,14,79.0,3010.0,215.0,5.7,2.0,6.7,Yes,16,64.7
35,Male,181.7,64.0,2.4,7,4,101.9,3307.0,179.0,6.6,3.6,5.3,Yes,41,67.0
26,Female,164.3,45.4,1.5,2,12,46.6,2031.0,93.0,6.1,3.0,5.4,Yes,30,46.8
51,Female,173.3,54.2,3.5,5,14,45.1,2377.0,152.0,6.6,5.1,6.2,No,34,56.1
18,Female,168.1,51.8,0.1,3,8,46.0,2231.0,108.0,8.8,7.3,1.0,No,42,54.1
38,Female,175.5,57.7,2.3,2,7,52.8,1829.0,122.0,6.0,3.8,5.0,Yes,9,58.2
37,Female,159.8,42.8,0.4,3,12,46.7,2304.0,77.0,5.5,2.7,7.2,Yes,21,45.3
35,Female,170.3,52.0,0.7,1,4,35.1,1500.0,88.0,5.8,1.8,8.1,No,32,53.0
32,Male,190.5,67.1,1.0,4,10,60.6,3032.0,164.0,6.7,5.7,3.1,No,45,69.7
36,Male,176.2,64.2,1.5,2,10,36.6,2193.0,139.0,6.6,4.1,4.0,No,10,64.2
39,Female,169.1,51.8,2.8,7,6,52.4,2619.0,161.0,6.1,3.0,6.1,Yes,40,55.9
23,Female,159.4,44.4,0.5,3,11,10.0,1980.0,124.0,5.9,3.7,5.8,No,11,47.0
33,Male,180.6,64.1,1.7,1,14,68.2,2285.0,131.0,6.6,4.3,5.2,No,48,69.6
28,Female,150.4,40.8,0.6,2,11,59.5,1863.0,93.0,4.0,1.0,7.4,No,8,43.9
19,Male,171.3,54.4,0.3,7,10,66.5,2944.0,174.0,7.1,3.9,4.9,Yes,19,54.4
37,Male,170.2,56.8,4.9,1,15,78.5,2692.0,85.0,6.0,3.7,7.5,Yes,37,59.6
24,Female,165.7,45.1,1.3,1,10,44.4,1866.0,50.0,7.5,6.6,1.0,No,29,46.5
18,Female,164.8,44.9,0.4,2,8,44.9,2074.0,113.0,4.8,1.0,8.4,Yes,38,48.4
25,Female,168.3,50.9,3.5,7,5,60.4,2569.0,165.0,7.7,5.2,4.6,Yes,19,54.1
22,Male,172.4,54.1,0.8,4,13,60.4,2646.0,128.0,5.8,3.8,4.8,No,18,57.7
40,Male,179.3,64.3,0.3,2,15,57.5,2406.0,106.0,7.3,5.8,2.7,No,51,66.5
32,Female,163.2,45.1,0.1,7,5,34.6,2324.0,148.0,6.4,2.7,8.6,Yes,22,46.6
44,Female,172.4,52.9,0.8,1,6,29.6,1500.0,113.0,6.4,4.1,6.1,No,28,53.3
23,Male,186.2,64.0,3.8,4,5,67.3,2538.0,155.0,6.7,5.7,4.2,No,50,68.3
39,Female,166.8,49.8,1.1,3,6,68.2,2301.0,88.0,5.6,1.0,10.0,No,8,49.7
58,Male,183.0,62.6,0.4,3,13,69.5,2732.0,160.0,7.0,5.0,2.7,No,45,65.7
34,Female,169.4,58.4,0.7,5,15,45.2,2251.0,145.0,7.4,5.6,6.6,No,27,59.0
39,Female,164.2,48.9,0.3,6,13,102.5,2609.0,106.0,7.0,6.0,3.8,No,48,53.5
37,Male,167.5,53.1,2.3,1,9,70.1,2610.0,112.0,4.9,1.1,5.7,No,6,52.2
18,Male,185.9,71.4,0.4,4,6,64.7,2682.0,176.0,5.3,2.4,10.0,No,17,73.3
36,Female,166.9,49.1,1.2,2,10,80.7,2145.0,87.0,6.9,6.4,3.6,No,45,53.2
33,Female,152.6,38.8,0.1,2,10,20.7,1589.0,70.0,6.9,4.7,6.1,Yes,12,39.1
27,Female,165.9,47.2,2.1,6,15,48.3,2427.0,162.0,8.9,8.4,1.3,Yes,49,50.5
21,Female,166.3,47.6,0.7,2,11,34.4,1518.0,109.0,6.8,4.3,5.0,Yes,47,48.9
37,Female,175.2,51.6,0.4,4,13,48.7,2197.0,146.0,9.3,7.0,1.0,No,39,53.9
20,Female,160.0,44.4,2.4,3,4,51.0,2153.0,106.0,6.4,3.9,8.1,No,8,44.2
51,Male,174.5,57.9,1.3,1,11,62.4,2587.0,122.0,6.8,4.4,4.9,No,30,60.3
31,Male,178.1,63.8,2.4,6,9,76.5,2755.0,195.0,6.9,4.7,6.7,Yes,12,64.9
18,Male,176.8,59.5,1.2,2,13,66.4,2051.0,131.0,6.6,5.0,5.1,Yes,40,62.8
25,Male,186.2,67.1,0.4,6,6,57.5,2597.0,177.0,7.9,8.2,1.0,No,47,72.6
27,Female,156.0,42.1,1.8,2,7,55.9,2292.0,91.0,7.3,5.6,2.7,No,14,43.4
54,Male,171.2,57.6,4.4,2,14,54.6,2195.0,145.0,7.7,7.1,2.2,No,36,60.2
21,Female,167.5,50.5,3.1,6,6,33.2,2120.0,150.0,6.4,3.4,5.0,Yes,25,51.5
29,Female,166.6,50.1,1.0,3,10,67.3,2357.0,120.0,7.4,5.0,6.4,No,18,51.0
25,Female,160.2,41.7,3.7,4,11,48.4,2575.0,120.0,6.3,2.0,6.6,No,5,41.6
35,Male,182.2,66.0,0.1,3,12,64.8,2505.0,155.0,6.0,3.5,10.0,No,28,67.3
25,Male,170.5,59.6,2.9,3,11,23.0,2687.0,114.0,7.8,7.3,3.9,No,50,61.3
19,Male,171.6,54.2,2.4,6,10,59.8,2731.0,155.0,7.8,5.6,3.2,No,27,58.0
28,Male,189.4,67.5,2.6,6,8,74.1,2132.0,192.0,9.1,8.3,2.6,No,35,70.3
27,Male,185.6,64.9,0.3,6,7,44.8,2712.0,194.0,7.0,5.0,7.2,No,33,67.1
24,Female,171.6,54.7,0.0,5,5,50.5,2300.0,144.0,7.7,6.2,3.5,No,11,54.8
25,Female,166.8,49.4,0.8,6,8,69.8,2189.0,178.0,5.7,1.0,10.0,No,30,51.7
42,Female,158.5,46.3,0.7,2,6,69.2,1923.0,115.0,7.3,6.5,5.6,Yes,43,51.0
27,Female,160.9,43.9,1.8,2,11,57.0,2035.0,116.0,6.6,5.4,1.2,No,29,46.7
19,Male,178.7,62.2,0.8,4,7,28.8,2801.0,160.0,6.1,2.5,4.6,Yes,51,65.3
25,Female,159.0,42.4,0.4,4,5,32.2,2110.0,137.0,6.3,2.9,7.3,Yes,31,45.2
31,Female,165.6,46.8,6.2,2,14,33.5,1814.0,115.0,6.9,3.8,8.0,No,7,46.3
18,Male,172.5,60.6,2.1,2,10,78.6,2600.0,108.0,8.0,7.0,1.0,No,52,63.7
46,Female,160.6,48.9,0.8,7,5,71.6,2936.0,156.0,8.2,7.3,3.4,No,48,51.8
39,Male,177.9,60.8,1.7,7,11,76.3,2857.0,179.0,7.8,5.9,6.3,No,52,66.2
44,Female,164.0,47.6,1.6,3,4,38.1,2208.0,137.0,9.4,8.4,1.0,Yes,15,50.1
34,Female,165.9,49.1,3.2,4,10,39.8,2399.0,125.0,8.3,8.2,2.4,Yes,31,53.1
18,Male,177.2,70.0,2.8,7,5,50.3,2722.0,204.0,7.5,7.3,7.2,No,49,73.1
45,Female,153.8,38.2,0.5,6,6,61.5,2314.0,111.0,7.9,6.3,5.6,No,11,39.8
21,Female,166.7,48.1,1.4,5,6,70.1,2571.0,146.0,7.1,4.3,4.0,No,15,49.2
22,Female,150.0,37.9,0.9,6,10,60.1,2245.0,142.0,7.0,7.0,2.3,No,40,41.4
32,Male,175.6,65.7,0.4,2,11,62.7,2391.0,135.0,5.9,4.3,4.3,Yes,4,66.2
44,Female,165.0,48.4,3.5,7,10,36.6,2140.0,176.0,8.0,6.8,4.0,No,47,51.4
41,Male,179.0,61.3,0.1,1,5,51.8,2117.0,154.0,6.8,4.9,6.6,No,31,65.0
39,Male,167.4,53.3,0.5,2,5,87.4,2694.0,92.0,6.9,3.8,4.4,No,20,53.1
27,Male,191.7,78.8,3.7,3,4,34.4,2712.0,150.0,7.1,3.5,7.5,No,26,78.9
27,Female,163.1,47.4,2.5,2,13,49.3,1858.0,102.0,7.7,6.6,2.8,No,41,49.7
33,Female,163.1,48.3,1.1,4,15,57.3,2145.0,102.0,5.7,1.0,5.8,No,14,49.2
29,Female,160.5,43.6,0.5,7,4,33.7,2513.0,150.0,6.4,4.1,6.4,Yes,19,45.9
39,Female,164.5,50.6,0.8,5,13,89.3,2109.0,105.0,5.8,1.0,7.2,No,30,52.3
38,Male,160.4,47.5,2.6,5,14,106.4,3113.0,143.0,6.2,4.1,5.3,No,13,49.4
36,Male,182.4,68.7,2.5,5,10,57.4,2840.0,185.0,6.8,4.3,7.7,No,20,70.6
18,Male,166.1,54.8,0.8,1,10,26.5,2177.0,76.0,5.7,1.4,6.3,No,38,54.9
31,Male,179.5,64.1,3.3,2,12,48.6,2389.0,129.0,6.6,4.4,7.0,No,38,65.9
29,Male,190.5,71.1,2.7,6,11,66.1,2634.0,190.0,6.6,5.3,2.7,No,25,71.3
32,Male,169.0,55.4,1.0,7,9,64.8,2767.0,157.0,6.0,4.5,7.7,No,39,58.7
22,Male,182.2,61.7,2.8,1,10,111.7,2373.0,129.0,7.9,7.9,3.9,No,33,63.7
18,Male,171.3,57.7,0.2,2,9,34.8,2286.0,89.0,7.9,5.3,6.1,No,33,59.1
35,Male,184.9,69.6,1.0,5,9,70.4,2706.0,164.0,8.0,7.9,2.7,Yes,39,71.9
26,Male,177.5,62.2,2.6,2,10,75.4,2725.0,151.0,4.4,2.2,7.2,No,48,67.6
36,Female,158.3,45.7,0.8,1,9,81.1,1886.0,79.0,8.1,6.3,8.2,No,50,50.2
23,Female,163.7,45.8,0.2,4,8,46.8,2271.0,141.0,7.0,3.4,8.3,Yes,33,47.9
44,Female,164.1,51.2,0.4,4,14,67.8,2481.0,146.0,5.6,3.7,7.7,No,7,51.7
40,Male,171.4,53.8,1.8,6,6,92.4,2707.0,160.0,9.7,10.0,3.2,No,47,58.0
33,Male,189.5,70.0,10.0,7,14,61.6,3119.0,192.0,5.9,3.4,5.4,No,37,74.3
28,Female,171.0,53.7,5.4,7,6,43.2,2052.0,193.0,5.6,1.7,10.0,No,15,54.8
39,Male,178.9,63.4,1.0,7,7,59.4,2689.0,161.0,8.1,7.9,1.7,No,34,65.5
34,Male,171.2,58.4,0.4,4,14,34.8,2827.0,142.0,6.3,4.1,4.2,Yes,15,58.8
32,Male,166.6,53.2,2.6,7,7,89.1,2859.0,166.0,7.3,5.3,4.5,Yes,17,56.4
40,Male,169.1,55.5,3.9,1,6,58.8,2460.0,95.0,5.9,3.2,8.4,No,30,57.0
44,Male,176.7,61.8,4.3,4,14,73.5,2681.0,163.0,4.8,3.2,2.2,Yes,35,64.6
18,Male,179.4,62.8,0.6,6,13,97.1,3303.0,168.0,8.3,8.6,3.5,No,24,65.4
19,Female,166.2,54.5,1.5,7,5,43.8,2295.0,197.0,8.5,7.0,3.9,No,21,55.4
22,Male,187.3,67.7,0.3,1,15,52.8,2029.0,134.0,7.8,6.4,3.4,Yes,35,69.9
18,Male,178.9,58.7,0.0,7,4,43.7,2303.0,148.0,8.0,6.5,2.3,No,10,59.6
29,Female,156.0,43.3,0.3,4,11,49.1,2186.0,134.0,4.9,1.0,10.0,No,35,46.8
36,Male,184.3,70.8,3.5,7,7,52.6,3002.0,163.0,7.6,5.8,3.7,No,5,70.2
30,Male,172.7,56.2,1.4,5,8,72.1,2517.0,100.0,5.6,3.5,1.1,No,25,59.1
25,Female,167.8,54.0,0.6,3,5,42.5,2193.0,102.0,8.4,7.7,1.0,Yes,43,56.6
41,Male,183.6,68.9,9.9,2,11,96.9,2378.0,170.0,9.0,8.0,6.0,No,7,68.2
31,Male,186.3,73.7,0.8,1,15,54.9,2111.0,136.0,6.3,6.0,4.2,Yes,36,77.5
33,Male,171.2,62.6,1.5,6,7,86.2,2692.0,187.0,7.3,5.2,1.0,Yes,30,65.8
42,Male,190.7,74.3,1.8,4,7,48.8,2546.0,185.0,7.6,6.5,4.4,Yes,37,77.5
29,Female,162.2,44.4,0.4,2,7,34.7,2233.0,92.0,6.9,4.5,8.8,No,39,47.2
51,Female,157.8,42.8,0.4,6,7,48.9,2459.0,132.0,6.4,5.1,7.3,No,29,42.9
26,Male,173.4,61.6,6.2,3,10,62.9,2478.0,153.0,7.6,5.6,4.9,No,49,64.3
50,Female,159.2,42.0,1.4,5,13,45.9,2227.0,154.0,5.9,1.6,7.1,No,34,44.3
20,Male,166.3,52.3,0.7,3,9,61.3,2514.0,122.0,7.0,4.5,4.9,No,17,53.7
35,Male,174.6,60.7,0.3,5,14,52.0,2238.0,139.0,8.4,7.2,1.0,No,7,62.2
24,Female,162.6,46.7,0.1,7,10,46.7,2026.0,144.0,6.8,5.6,4.3,Yes,26,49.9
41,Male,167.8,52.4,5.7,5,11,83.1,2632.0,171.0,8.3,6.8,2.9,No,8,52.6
25,Male,183.0,62.4,0.5,2,12,19.5,2234.0,116.0,9.6,9.3,2.8,No,20,63.2
33,Male,179.4,64.3,1.2,5,8,57.1,2941.0,183.0,5.4,1.2,4.6,Yes,30,67.3
23,Male,182.6,64.9,0.1,5,12,42.3,2473.0,138.0,6.7,4.4,4.6,No,8,65.6
39,Male,175.1,63.8,3.2,6,9,56.3,2487.0,199.0,5.8,2.3,9.4,No,52,66.9
23,Female,157.3,43.3,0.7,4,8,44.9,2379.0,117.0,6.9,4.5,3.7,No,21,42.6
47,Male,177.5,63.1,6.3,6,10,76.3,2347.0,199.0,7.2,5.8,2.6,Yes,12,63.9
20,Male,173.7,59.0,3.4,3,15,49.3,2784.0,106.0,5.8,2.4,9.7,Yes,9,60.5
18,Male,172.5,62.7,3.8,2,5,79.8,2275.0,116.0,6.9,4.3,7.5,No,43,64.6
